"<b>Meeting</b>","<b>Notes</b>","<b>Topics</b>","<b>Readings</b>","<b>Homework (out)</b>","<b>Homework (due)</b>"
"Sep 9",,"Overview, motivation. Probability space basics.","Gu p. 1-6",,
"Sep 14",,"Random variables, distribution, cdf.","Gu p. 7-13",,
"Sep 16",,"More on r.v.'s. Expectation: basics.","Gu p. 25-32","Exercise 1 (see Piazza)",
"Sep 21",,"More on expectations. Limits and expectations.","Gu p. 45-58",,"Exercise 1 (see Piazza)"
"Sep 23",,"Asymptotics and more on expectations","Du 1.7; Bi 18",,
"Sep 28",,"Product space, functions of random variables","Gu p. 60-67",,
"Sep 30",,"More on computing expectations, indep and uncorrelated r.v.'s",,"Assignment 1",
"Oct 5",,,,,
"Oct 7",,,,,
"Oct 9",,,,,"Assignment 1"
"Oct 12","Thanksgiving!",,,,
"Oct 14",,,,,
"Oct 19",,,,,
"Oct 21","MIDTERM","MIDTERM (regular lecture time and location)",,,
"Oct 26",,,,,
"Oct 28",,,,,
"Nov 2",,,,,
"Nov 4",,,,,
"Nov 9",,,,,
"Nov 11","Remembrance day",,,,
"Nov 16",,,,,
"Nov 18",,,,,
"Nov 23",,,,,
"Nov 25",,,,,
"Nov 30",,,,,
"Dec 2",,,,,
